transaction_id,customer_id,amount,date
99,5123,150.52,2024-10-10
100,69279,976.74,2025-07-05
101,25363,336.22,2023-09-17
102,24696,230.56,2023-12-10
103,66593,796.74,2024-10-17
104,67875,594.71,2024-03-13
105,83262,66.29,2025-02-25
106,7783,927.75,2024-02-23
107,96641,916.07,2025-06-14
108,90454,414.91,2023-09-01
109,23361,997.02,2025-07-07
110,69341,92.48,2025-02-25
111,70809,381.97,2023-07-09
112,23314,620.38,2025-05-13
113,17284,911.39,2023-11-15
114,12590,253.92,2023-12-20
115,21839,870.22,2024-10-29
116,81452,351.36,2024-03-15
117,15083,260.78,2024-11-06
118,19446,436.28,2025-01-11
119,87664,487.77,2024-07-05
120,33160,83.02,2024-11-22
121,84280,967.08,2024-06-07
122,39988,240.68,2025-05-03
123,32666,121.25,2025-01-08
124,45117,593.03,2025-02-02
125,57259,834.95,2025-01-09
126,39532,787.42,2024-08-03
127,53885,406.58,2024-05-20
128,67964,283.72,2023-10-31
129,99,116.95,2023-07-16
130,21689,922.87,2025-04-09
131,80061,576.88,2024-08-06
132,94556,318.98,2024-07-08
133,77192,319.32,2024-10-11
134,78514,315.99,2025-06-11
135,76317,523.98,2025-01-16
136,95345,939.11,2024-11-03
137,48466,439.65,2025-06-24
138,59255,389.86,2024-05-08
139,23225,355.68,2023-10-24
140,29719,772.06,2023-09-10
141,97909,604.74,2023-11-14
142,21729,572.47,2025-05-19
143,38337,756.32,2023-10-24
144,11500,226.56,2025-02-08
145,38015,831.49,2023-09-26
146,19171,415.15,2023-11-14
147,26259,13.71,2023-11-05
148,39375,561.58,2025-05-23
149,14517,860.56,2024-05-05
150,32556,485.49,2023-09-05
151,40953,189.66,2024-09-09
152,89199,72.2,2025-05-28
153,84893,999.29,2025-03-22
154,34555,450.14,2023-11-24
155,58665,994.78,2024-07-11
156,60466,488.62,2024-05-02
157,15096,283.8,2024-07-19
158,19074,60.8,2025-03-09
159,35085,694.19,2024-09-18
160,52011,504.39,2023-08-06
161,95345,746.4,2025-02-26
162,95174,305.83,2023-12-27
163,14187,864.6,2024-12-09
164,10730,865.34,2024-02-12
165,79031,284.85,2025-01-15
166,41690,273.98,2023-09-28
167,56480,188.9,2023-12-04
168,65236,731.29,2025-02-05
169,10709,104.97,2024-11-18
170,57908,154.67,2024-12-24
171,6832,409.16,2024-10-22
172,8108,884.53,2025-06-24
173,62626,582.51,2023-07-30
174,78056,582.16,2024-04-28
175,25411,467.41,2023-11-05
176,57911,672.31,2023-12-29
177,3913,619.57,2025-03-04
178,47303,863.61,2025-01-08
179,23924,389.99,2024-08-16
180,21328,157.13,2024-12-15
181,1053,110.46,2024-01-09
182,5501,481.51,2024-07-20
183,31581,486.27,2024-01-11
184,35773,244.7,2024-02-27
185,33047,441.74,2024-04-11
186,93292,633.55,2023-09-21
187,95491,576.82,2024-06-23
188,94396,693.47,2024-10-19
189,64910,140.05,2023-08-08
190,58757,891.73,2025-07-07
191,83344,882.84,2024-04-29
192,98244,814.53,2024-07-19
193,32950,329.51,2024-04-22
194,23429,384.26,2024-08-12
195,69739,289.62,2024-12-05
196,78428,905.92,2024-07-16
197,53269,620.78,2024-03-19
198,89452,274.54,2024-08-19
199,90066,509.91,2024-04-16
200,37054,235.58,2025-07-05
201,89343,935.44,2024-02-03
202,82595,590.9,2025-02-18
203,54265,372.52,2024-01-03
204,68522,27.34,2025-04-29
205,57332,46.81,2025-07-04
206,44935,573.21,2023-08-14
207,65352,886.4,2024-09-22
208,85951,731.55,2024-06-08
209,87941,780.76,2024-12-30
210,25174,372.31,2025-03-05
211,28572,816.82,2025-01-25
212,73345,171.69,2023-10-05
213,138,392.36,2025-03-12
214,48225,918.86,2024-11-13
215,85836,165.67,2024-10-09
216,83141,963.36,2024-02-08
217,21439,78.53,2023-11-02
218,18581,26.18,2024-12-10
219,3472,576.18,2025-03-12
220,71528,303.02,2023-09-18
221,41235,571.9,2024-05-05
222,3548,657.9,2024-12-05
223,96242,535.06,2023-09-07
224,46968,57.71,2024-09-16
225,19587,484.63,2023-08-24
226,32223,149.09,2025-04-29
227,35885,948.67,2025-01-15
228,51278,872.05,2025-06-25
229,16664,625.93,2024-07-30
230,93058,75.59,2024-10-23
231,25708,537.74,2024-03-24
232,92511,333.52,2023-11-28
233,28722,473.73,2023-07-11
234,94567,565.29,2023-08-19
235,91071,173.36,2024-09-10
236,92184,675.81,2024-06-02
237,67821,811.55,2024-08-26
238,9090,451.25,2024-01-09
239,41415,363.53,2024-06-26
240,425,709.2,2025-04-03
241,72841,338.71,2024-11-17
242,97633,30.5,2024-03-19
243,1873,445.38,2024-10-02
244,58142,91.39,2023-10-09
245,31260,470.26,2024-08-31
246,11956,973.27,2024-06-14
247,40319,478.35,2024-09-11
248,95268,325.96,2023-11-11
249,39712,617.36,2023-10-20
250,20579,726.23,2024-08-10
251,31271,932.52,2024-03-08
252,58925,974.34,2025-04-30
253,63616,323.89,2024-08-11
254,87621,45.55,2025-04-22
255,70635,733.58,2024-10-16
256,89438,370.3,2025-03-17
257,46767,412.02,2025-02-07
258,89633,116.63,2025-04-26
259,4831,946.29,2024-09-23
260,61709,612.01,2024-07-06
261,10213,516.71,2023-09-17
262,1463,302.14,2025-05-03
263,53764,812.03,2024-11-04
264,32651,707.79,2025-05-18
265,40269,788.56,2024-01-06
266,96352,698.09,2023-09-27
267,69633,589.77,2025-03-21
268,99820,828.52,2024-09-29
269,26784,139.49,2024-03-09
270,24726,862.88,2025-07-08
271,34972,613.23,2023-07-27
272,10705,713.06,2024-05-28
273,63541,109.41,2025-02-17
274,82316,845.41,2025-02-26
275,76889,225.02,2024-11-26
276,7465,32.84,2025-01-13
277,79813,273.58,2023-11-22
278,91547,901.32,2025-01-19
279,59720,612.51,2025-05-20
280,65882,200.67,2025-04-16
281,90371,154.59,2023-12-31
282,61610,572.48,2023-08-06
283,86060,402.3,2023-12-30
284,90902,143.5,2024-03-10
285,95159,191.9,2023-11-21
286,70590,627.46,2024-03-02
287,33603,515.86,2024-10-03
288,8311,618.78,2024-12-18
289,75548,269.93,2025-05-08
290,77226,426.22,2024-09-08
291,14195,380.09,2024-09-09
292,55081,522.14,2024-05-25
293,72876,981.28,2024-10-08
294,58805,613.46,2024-08-19
295,96241,681.17,2024-02-19
296,34724,907.44,2024-08-02
297,62196,149.88,2025-01-27
298,98674,417.49,2024-02-05
299,21082,568.71,2023-10-10
300,30742,282.37,2023-08-23
301,2167,954.28,2024-05-29
302,89121,321.75,2023-09-01
303,20825,201.87,2024-02-13
304,99326,286.94,2025-01-31
305,33475,89.77,2024-06-03
306,85527,69.23,2024-07-16
307,85066,433.14,2024-09-24
308,98359,987.68,2025-01-10
309,13167,522.37,2023-07-14
310,51269,199.89,2024-05-29
311,23701,654.67,2024-01-15
312,15159,446.33,2025-06-08
313,72167,920.41,2024-08-02
314,50689,548.3,2024-09-30
315,6814,346.3,2024-04-04
316,82135,411.28,2025-05-12
317,16283,226.18,2024-10-12
318,63608,714.29,2023-09-19
319,78320,623.02,2025-04-25
320,43311,80.63,2024-11-29
321,76782,140.3,2025-03-12
322,14118,467.06,2024-09-12
323,72789,994.39,2024-10-22
324,12603,459.94,2025-02-13
325,45596,177.4,2024-03-24
326,79039,988.27,2024-04-26
327,8626,579.63,2025-02-18
328,10273,442.13,2023-09-07
329,10666,685.1,2024-10-02
330,52155,41.32,2025-02-20
331,1527,683.29,2023-09-17
332,68599,954.3,2023-08-05
333,73739,410.4,2024-03-19
334,81465,546.6,2024-10-03
335,39,690.36,2025-06-20
336,7838,853.1,2025-02-08
337,65284,133.94,2025-02-21
338,17685,841.33,2025-03-30
339,17689,302.03,2025-07-05
340,8285,188.98,2023-08-02
341,68013,61.55,2024-04-13
342,83771,820.9,2023-09-01
343,26423,603.83,2023-11-28
344,13947,758.34,2023-10-09
345,24832,313.89,2024-01-13
346,76150,455.05,2024-12-06
347,13483,915.4,2023-11-06
348,37953,575.38,2023-12-05
349,8938,771.57,2023-10-17
350,30825,977.4,2023-10-03
351,5799,307.61,2024-06-22
352,87895,475.06,2024-05-18
353,15173,907.67,2024-04-06
354,41401,64.8,2025-01-21
355,35261,333.2,2025-05-23
356,18350,536.0,2024-06-09
357,38030,747.9,2024-01-29
358,48224,935.12,2025-07-04
359,73742,912.56,2025-01-03
360,93039,179.82,2025-05-04
361,21086,540.95,2024-04-10
362,22696,74.28,2024-03-23
363,71767,623.06,2025-02-02
364,18063,976.06,2025-01-08
365,84823,184.31,2025-03-13
366,5378,62.43,2024-01-25
367,20620,626.48,2023-12-01
368,32390,727.01,2023-08-07
369,85926,602.15,2023-07-18
370,65497,386.74,2025-05-07
371,36744,539.24,2025-03-25
372,63431,330.13,2025-02-24
373,87357,663.91,2025-05-21
374,94161,703.92,2023-09-18
375,74529,438.51,2024-09-05
376,44320,549.36,2024-09-03
377,22561,163.25,2025-01-31
378,54768,203.31,2024-08-01
379,50670,555.25,2024-04-30
380,55896,304.62,2025-04-02
381,14088,274.36,2023-10-15
382,39706,536.93,2024-02-25
383,52057,406.9,2025-01-12
384,35906,403.37,2023-07-27
385,27722,121.16,2024-04-15
386,17082,960.64,2024-10-02
387,89087,942.39,2025-06-27
388,22959,806.51,2024-04-29
389,83213,216.91,2024-09-22
390,73368,237.33,2025-02-20
391,898,730.94,2023-11-02
392,81541,274.68,2024-05-04
393,85989,457.56,2024-04-11
394,54626,829.34,2024-03-27
395,57809,46.26,2024-12-18
396,2357,912.91,2023-09-17
397,43275,59.93,2024-03-27
398,25747,809.82,2024-07-06
399,29937,582.52,2024-03-02
400,63156,314.58,2025-06-23
401,8146,865.01,2023-11-29
402,4302,455.02,2024-09-10
403,88138,292.73,2023-12-08
404,27658,467.94,2024-09-25
405,41060,708.95,2023-09-08
406,34368,612.74,2024-09-17
407,75947,312.22,2025-05-02
408,597,838.94,2025-05-04
409,88531,161.08,2024-05-08
410,14678,433.87,2025-03-27
411,6843,843.05,2024-02-27
412,31746,795.03,2025-01-31
413,20128,963.11,2024-06-19
414,2637,189.48,2024-12-17
415,73493,731.18,2024-10-23
416,24530,244.67,2023-11-12
417,4211,306.29,2023-11-22
418,99121,805.82,2023-11-01
419,8985,373.22,2024-10-23
420,8958,674.17,2023-10-16
421,38286,472.35,2025-02-11
422,97286,955.12,2024-05-27
423,13584,627.65,2023-09-14
424,37158,920.57,2025-06-30
425,13265,64.9,2024-08-21
426,21510,663.19,2025-01-12
427,74845,449.67,2025-03-19
428,66242,424.03,2023-09-04
429,59699,749.25,2024-09-14
430,14710,165.11,2024-11-13
431,89946,713.09,2023-10-21
432,28471,675.82,2025-05-22
433,76788,565.94,2024-02-01
434,44156,209.86,2023-12-29
435,93916,632.37,2025-04-17
436,26881,500.02,2024-05-22
437,93352,516.59,2023-12-24
438,59198,40.19,2024-06-27
439,925,743.32,2025-05-10
440,57080,303.6,2024-04-08
441,66047,733.33,2024-02-21
442,13387,719.43,2024-04-01
443,58908,910.72,2025-01-04
444,17554,638.07,2023-12-02
445,72019,390.89,2024-09-07
446,41855,258.73,2024-12-25
447,30982,370.29,2024-12-30
448,81796,132.42,2023-08-07
449,11191,153.83,2024-04-24
450,82381,242.29,2023-12-15
451,74534,816.88,2024-01-07
452,22722,929.47,2025-06-01
453,91612,190.75,2025-06-22
454,88404,134.64,2024-08-27
455,24964,558.88,2025-02-02
456,58469,162.02,2025-04-22
457,96975,344.23,2023-08-13
458,60571,861.18,2023-07-23
459,6624,182.44,2025-04-07
460,25002,779.99,2025-02-27
461,19433,996.8,2023-09-22
462,8120,20.5,2025-05-02
463,16299,934.45,2024-11-03
464,72805,922.88,2025-04-01
465,38401,736.51,2025-06-11
466,65534,541.32,2025-05-12
467,43536,513.19,2023-07-13
468,23961,551.95,2025-01-08
469,75531,100.77,2024-07-08
470,71850,261.92,2024-07-20
471,35282,220.8,2024-05-04
472,86877,851.62,2024-12-18
473,54186,975.7,2023-09-26
474,33593,390.64,2025-02-25
475,80688,244.32,2025-05-15
476,8407,199.5,2024-02-02
477,58829,10.2,2024-01-19
478,90086,204.52,2025-04-28
479,82557,685.86,2025-05-13
480,46828,788.13,2025-04-04
481,78483,277.49,2024-02-19
482,28676,237.19,2024-06-25
483,96054,315.63,2024-05-01
484,80374,94.37,2024-09-12
485,98379,747.38,2024-08-22
486,73278,890.25,2025-01-18
487,21714,185.38,2024-01-23
488,42452,475.38,2025-06-05
489,63276,165.63,2024-05-17
490,87919,737.67,2024-04-27
491,58050,180.1,2024-10-26
492,837,16.95,2025-03-21
493,53806,931.54,2023-11-25
494,43001,685.21,2024-03-18
495,80997,821.13,2025-05-10
496,56076,115.37,2023-10-09
497,30888,504.43,2024-08-03
498,76560,908.45,2024-10-23
499,13750,13.59,2025-01-07
500,30206,311.39,2024-12-04
501,13985,39.86,2024-11-26
502,94102,576.66,2024-08-31
503,6921,982.52,2024-11-26
504,61484,116.57,2023-07-18
505,24195,439.02,2024-08-13
506,10705,369.03,2024-05-07
507,90943,249.19,2024-12-07
508,74768,578.02,2024-02-06
509,31041,53.52,2023-07-16
510,65183,213.88,2023-12-08
511,83602,729.79,2025-05-06
512,56903,838.46,2024-09-14
513,74411,539.88,2024-12-15
514,55825,82.91,2025-04-09
515,97962,152.98,2023-09-19
516,60203,103.72,2025-06-09
517,98968,997.98,2025-06-03
518,19556,850.25,2024-06-08
519,2073,209.74,2024-08-19
520,22574,394.24,2024-11-21
521,59473,941.36,2025-01-22
522,89260,592.34,2023-08-19
523,60236,87.47,2025-04-24
524,70784,272.02,2023-08-17
525,74706,47.6,2023-08-16
526,70408,967.02,2024-05-23
527,45565,489.76,2024-01-07
528,2995,979.28,2024-11-20
529,64138,731.91,2024-04-25
530,78172,144.74,2024-03-18
531,46386,13.36,2024-01-13
532,74881,88.29,2024-10-28
533,76524,389.09,2024-07-01
534,22080,556.68,2023-07-09
535,57765,359.68,2024-11-02
536,7795,128.8,2024-01-13
537,39484,216.78,2024-01-29
538,20626,854.52,2024-09-09
539,19170,568.15,2025-03-19
540,59128,260.41,2025-01-11
541,53388,894.3,2023-10-20
542,73524,929.84,2024-01-25
543,13532,823.19,2024-05-07
544,32705,385.77,2024-01-14
545,26955,529.31,2024-05-04
546,68066,84.97,2023-11-21
547,97153,845.95,2024-03-04
548,99430,327.62,2025-02-12
549,3951,818.46,2024-10-27
550,41817,149.49,2023-08-30
551,32825,420.46,2024-05-06
552,48753,218.62,2025-01-27
553,50627,284.97,2023-10-16
554,85667,654.94,2025-03-29
555,95562,790.19,2023-10-19
556,21958,822.98,2024-12-23
557,35310,575.53,2024-07-28
558,39526,71.39,2023-08-07
559,1704,783.23,2024-08-29
560,44802,213.31,2025-07-03
561,9483,981.98,2024-03-02
562,20300,599.26,2024-12-12
563,33892,696.23,2025-04-06
564,6114,273.96,2024-10-19
565,22278,296.26,2023-08-02
566,22602,203.94,2023-08-20
567,61215,585.49,2023-12-14
568,92080,421.77,2024-05-16
569,16263,682.77,2025-01-19
570,57973,153.9,2025-04-16
571,5289,691.24,2024-11-25
572,92406,936.22,2023-11-22
573,13400,512.64,2024-08-31
574,14535,168.93,2023-12-29
575,1356,538.47,2024-08-17
576,83233,211.8,2023-11-07
577,91064,242.67,2024-05-23
578,62271,226.72,2025-02-09
579,93666,950.76,2023-10-06
580,62476,241.72,2023-08-10
581,86374,220.18,2023-07-28
582,705,783.41,2023-07-18
583,35264,776.64,2024-05-26
584,11881,213.26,2024-03-15
585,2290,213.81,2023-09-05
586,17715,770.2,2024-03-26
587,43021,569.44,2024-11-06
588,52216,610.05,2025-05-07
589,59693,590.63,2024-10-04
590,58998,315.44,2024-07-22
591,28059,687.68,2025-02-07
592,10912,769.28,2023-07-27
593,59193,323.75,2024-04-10
594,62100,743.3,2025-05-22
595,81344,395.44,2025-03-10
596,85292,889.34,2023-12-09
597,9865,237.99,2024-05-04
598,29845,887.87,2024-02-27
599,41459,31.16,2024-08-29
600,6433,673.08,2024-02-13
601,31018,16.58,2024-12-11
602,93260,998.41,2025-05-08
603,50226,437.33,2025-01-06
604,27228,363.84,2025-05-20
605,11467,356.84,2024-03-21
606,36067,874.68,2024-05-01
607,40733,56.04,2024-06-24
608,88738,486.83,2025-06-25
609,59797,578.82,2024-04-16
610,13356,589.01,2024-04-26
611,68245,398.89,2025-06-24
612,5669,186.83,2023-12-27
613,69070,509.46,2024-05-08
614,15217,893.9,2025-01-17
615,79272,982.91,2024-12-24
616,12463,576.66,2023-11-07
617,53656,116.94,2024-11-20
618,73318,776.07,2025-07-01
619,69511,910.37,2024-11-25
620,41869,452.8,2025-05-05
621,92579,196.13,2025-05-23
622,26365,898.05,2024-10-08
623,35562,180.68,2024-02-08
624,75309,939.87,2024-10-16
625,8682,339.21,2024-06-20
626,59700,503.69,2024-08-24
627,73460,452.95,2024-11-14
628,77717,410.52,2024-08-28
629,67789,649.5,2024-03-17
630,41988,353.1,2024-08-17
631,24409,649.51,2025-01-11
632,17791,593.96,2023-09-11
633,36760,304.41,2025-01-09
634,31534,907.6,2024-03-05
635,68169,223.81,2025-06-08
636,50257,880.99,2024-06-27
637,94274,812.5,2025-02-06
638,45026,469.53,2023-10-06
639,48912,879.03,2023-08-10
640,48620,664.19,2024-11-06
641,44754,416.94,2025-01-07
642,2516,16.85,2025-06-27
643,37596,403.09,2025-01-02
644,36435,43.69,2024-08-21
645,40789,558.15,2023-11-13
646,16016,980.03,2024-05-01
647,79633,662.67,2023-09-27
648,39740,99.43,2023-09-17
649,10841,753.25,2024-04-09
650,46551,896.41,2024-06-18
651,66102,120.79,2025-02-07
652,61594,776.95,2024-09-03
653,16594,369.67,2024-11-02
654,60074,839.85,2024-11-07
655,46676,398.05,2024-06-01
656,31145,453.64,2025-05-05
657,76624,629.8,2024-04-14
658,63219,56.6,2025-02-01
659,77560,602.51,2024-12-03
660,43125,828.07,2023-12-17
661,55829,657.31,2025-03-18
662,21094,96.89,2023-11-13
663,12023,290.96,2024-01-05
664,55965,404.29,2024-06-09
665,62270,39.29,2024-10-30
666,66695,751.06,2024-10-30
667,63605,950.87,2025-04-01
668,43283,54.22,2024-01-22
669,94115,730.67,2023-07-26
670,68630,641.49,2024-02-02
671,870,513.89,2025-04-10
672,73547,845.5,2024-12-14
673,15091,823.64,2023-08-22
674,83495,694.6,2023-09-11
675,91624,316.48,2024-02-22
676,50704,571.31,2024-06-17
677,50768,829.73,2025-02-13
678,66710,178.71,2024-06-12
679,59501,227.78,2025-02-13
680,84048,56.58,2024-11-05
681,86165,438.17,2025-04-13
682,36264,272.47,2023-10-03
683,72524,878.9,2024-09-01
684,44542,512.24,2024-08-24
685,20137,553.84,2025-04-15
686,16855,27.1,2025-05-02
687,62745,513.12,2025-06-13
688,48967,626.03,2024-06-11
689,96642,337.35,2023-07-23
690,58969,45.93,2024-03-12
691,1859,173.38,2023-12-16
692,4614,798.97,2024-11-05
693,80246,212.21,2024-08-22
694,89911,670.56,2024-05-29
695,27646,913.88,2024-10-21
696,53130,620.2,2025-03-17
697,26154,491.56,2023-09-02
698,13772,985.83,2024-06-07
699,84886,844.81,2023-07-27
700,65678,493.83,2024-02-13
701,71996,618.82,2024-01-02
702,85316,219.13,2024-03-14
703,10171,388.78,2023-12-09
704,70102,60.99,2025-01-12
705,86906,504.98,2024-09-10
706,51399,265.33,2024-03-24
707,43580,448.15,2024-12-26
708,72956,889.69,2024-12-05
709,65848,721.38,2024-12-08
710,3374,556.92,2024-01-04
711,98644,141.87,2025-02-23
712,68034,473.7,2023-12-28
713,22223,518.31,2023-11-29
714,79792,915.31,2024-05-11
715,28826,866.69,2025-05-20
716,5721,406.81,2024-02-22
717,49675,290.22,2024-05-10
718,19456,540.22,2023-09-07
719,20723,698.92,2023-10-11
720,51861,325.87,2024-08-03
721,10324,776.5,2025-03-23
722,5399,144.6,2024-05-01
723,12869,546.62,2024-02-07
724,56657,838.65,2024-01-09
725,23846,46.46,2024-07-29
726,35917,235.25,2024-06-12
727,92123,278.05,2024-11-01
728,5893,948.74,2025-01-01
729,62596,879.11,2024-08-15
730,57629,657.23,2024-05-12
731,80606,342.71,2024-05-27
732,19240,960.13,2025-04-16
733,99035,924.39,2024-03-31
734,70523,579.93,2023-11-08
735,68622,24.13,2025-01-04
736,13192,421.14,2025-01-18
737,83045,430.55,2025-04-25
738,19671,83.27,2024-12-15
739,30030,708.3,2023-11-01
740,25257,434.59,2024-08-29
741,70866,649.25,2025-03-27
742,94092,141.61,2024-02-29
743,64395,91.33,2025-05-18
744,19085,911.15,2024-08-11
745,33393,654.4,2025-06-08
746,23824,525.43,2025-03-25
747,44892,838.32,2024-06-24
748,55786,389.76,2024-11-07
749,96274,487.79,2023-08-28
750,33684,598.03,2023-09-23
751,46592,74.0,2025-02-12
752,79882,329.53,2023-11-23
753,31521,506.47,2024-02-09
754,27696,476.58,2024-08-03
755,15779,653.35,2024-08-10
756,62051,435.47,2023-09-15
757,79471,206.13,2024-01-03
758,65987,956.94,2023-09-03
759,75353,546.34,2024-09-21
760,70652,479.1,2023-09-23
761,80075,86.74,2024-08-13
762,33474,442.75,2023-12-06
763,84577,460.22,2024-05-11
764,85504,733.38,2025-01-27
765,52419,294.41,2025-04-08
766,76027,538.95,2024-09-27
767,58477,726.88,2025-04-25
768,3238,830.42,2025-01-31
769,31810,959.16,2025-07-01
770,61358,970.96,2023-08-11
771,52687,409.9,2024-04-12
772,81533,329.26,2024-04-01
773,68922,905.73,2023-12-01
774,12628,926.43,2023-07-22
775,56894,376.77,2025-02-16
776,25222,22.41,2025-06-11
777,50247,83.67,2023-11-24
778,68572,278.35,2024-01-15
779,9486,522.56,2024-04-09
780,15297,393.75,2024-03-30
781,62190,532.18,2025-04-14
782,96481,43.88,2024-06-15
783,88121,22.66,2023-10-18
784,65,811.88,2023-11-13
785,71353,326.2,2024-12-27
786,86559,326.88,2025-01-12
787,43893,633.01,2025-04-04
788,43204,216.52,2025-04-23
789,19933,166.53,2024-05-05
790,17054,182.89,2025-04-30
791,74162,534.76,2024-12-18
792,79962,170.65,2024-04-28
793,81015,981.73,2025-01-01
794,6121,937.03,2023-09-28
795,13720,993.76,2024-08-30
796,53638,600.03,2024-06-23
797,57082,262.13,2023-12-18
798,83715,352.26,2023-09-03
799,76688,34.75,2024-11-11
800,49388,606.7,2025-04-09
801,64056,916.83,2023-10-22
802,42919,839.62,2023-07-13
803,43414,665.07,2024-08-17
804,73368,787.85,2024-10-02
805,89499,447.12,2024-01-22
806,50209,592.46,2024-01-30
807,60010,974.2,2025-03-19
808,86656,601.94,2024-03-04
809,38220,924.07,2025-02-24
810,91164,293.86,2023-10-27
811,42385,409.56,2023-07-27
812,48678,441.96,2024-05-20
813,85771,132.56,2024-08-11
814,1321,790.24,2024-02-21
815,97717,510.27,2025-03-21
816,33773,227.93,2025-02-04
817,90105,332.31,2024-08-07
818,9049,303.25,2024-06-13
819,62670,853.33,2023-10-14
820,17147,115.2,2024-01-03
821,92099,555.24,2023-11-01
822,86386,303.37,2024-04-21
823,4576,13.73,2024-07-08
824,91594,249.9,2024-10-22
825,91564,736.37,2024-02-17
826,54370,53.58,2023-07-17
827,91529,338.31,2025-07-03
828,66948,49.72,2025-01-13
829,97265,447.61,2024-03-07
830,80221,531.24,2023-10-11
831,46856,40.23,2023-12-11
832,26819,841.28,2024-11-16
833,11621,387.12,2025-01-25
834,67887,790.43,2025-06-26
835,19322,270.74,2024-04-02
836,2654,434.72,2025-02-04
837,51672,231.68,2023-11-17
838,86974,904.53,2023-12-31
839,36968,101.23,2024-03-15
840,54737,930.33,2025-05-08
841,1715,444.38,2024-09-21
842,56004,15.99,2023-10-30
843,15826,471.21,2025-03-04
844,20665,132.48,2023-08-17
845,49911,133.84,2024-05-04
846,69536,12.61,2024-04-15
847,47828,578.01,2023-09-17
848,87898,525.6,2025-07-03
849,99580,279.65,2024-03-09
850,51308,643.85,2024-09-24
851,65666,582.17,2025-04-03
852,95020,743.31,2024-03-03
853,63832,872.57,2024-08-10
854,25207,134.25,2024-12-07
855,69583,655.7,2023-09-10
856,25977,398.79,2023-08-29
857,94246,329.75,2023-07-26
858,27785,391.92,2024-03-06
859,3330,331.37,2024-12-02
860,24882,598.85,2025-05-11
861,839,571.11,2024-02-05
862,74185,726.82,2025-07-04
863,8965,669.8,2024-08-19
864,90275,259.41,2023-10-10
865,67388,34.46,2024-02-22
866,60275,159.07,2024-02-29
867,64093,563.63,2023-10-16
868,82068,523.68,2024-02-25
869,18752,748.78,2023-10-03
870,64351,184.6,2023-11-20
871,21594,452.39,2025-02-18
872,28708,361.7,2023-10-27
873,20353,684.05,2023-11-07
